               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.025026,            0.014074,            0.027957,             0.40696,             0.57143,             0.39993,             0.30141,            0.010559,           0.0036545,             0.02044,            0.003862,            0.003862,            0.003862
                  33,            0.028561,             0.01602,            0.033503,             0.57289,             0.39494,             0.40744,             0.30917,            0.013261,           0.0036173,            0.019961,            0.003664,            0.003664,            0.003664
                  34,            0.029058,            0.016496,            0.033253,             0.57289,             0.39494,             0.40744,             0.30917,            0.013261,           0.0036173,            0.019961,            0.003466,            0.003466,            0.003466
                  35,            0.025699,            0.016509,            0.033204,             0.61186,             0.55315,             0.53553,             0.39013,            0.010461,           0.0040257,            0.019762,            0.003268,            0.003268,            0.003268
                  36,            0.022148,            0.014371,            0.029168,             0.58738,             0.47271,              0.3512,             0.18529,            0.016303,           0.0042404,            0.020028,             0.00307,             0.00307,             0.00307
                  37,            0.033152,            0.016611,            0.037203,             0.58738,             0.47271,              0.3512,             0.18529,            0.016303,           0.0042404,            0.020028,            0.002872,            0.002872,            0.002872
                  38,            0.021791,            0.016187,            0.029064,             0.62664,             0.43839,             0.47229,             0.33226,           0.0083989,           0.0041426,            0.020044,            0.002674,            0.002674,            0.002674
                  39,            0.021405,            0.014577,            0.032175,             0.62432,             0.42857,             0.47316,             0.37399,           0.0081118,           0.0041485,            0.019892,            0.002476,            0.002476,            0.002476
                  40,            0.022811,             0.01686,            0.029373,             0.62432,             0.42857,             0.47316,             0.37399,           0.0081118,           0.0041485,            0.019892,            0.002278,            0.002278,            0.002278
                  41,            0.021046,            0.014162,            0.033931,             0.61363,              0.4553,             0.48618,             0.40024,           0.0083693,            0.004108,            0.019885,             0.00208,             0.00208,             0.00208
                  42,            0.018117,            0.012995,            0.026289,             0.63908,             0.46949,             0.47448,             0.40086,            0.010214,           0.0038558,            0.019682,            0.001882,            0.001882,            0.001882
                  43,            0.022064,            0.015574,            0.031789,             0.63908,             0.46949,             0.47448,             0.40086,            0.010214,           0.0038558,            0.019682,            0.001684,            0.001684,            0.001684
                  44,            0.023105,            0.015258,            0.030095,             0.64185,              0.4612,             0.47365,             0.38675,            0.010011,           0.0037861,            0.019609,            0.001486,            0.001486,            0.001486
                  45,            0.024555,            0.014256,            0.032088,               0.663,             0.48272,             0.46861,             0.35745,           0.0079513,           0.0035271,            0.019287,            0.001288,            0.001288,            0.001288
                  46,            0.023567,            0.015442,            0.032233,               0.663,             0.48272,             0.46861,             0.35745,           0.0079513,           0.0035271,            0.019287,             0.00109,             0.00109,             0.00109
                  47,            0.023937,            0.014771,            0.031167,             0.60906,             0.42857,             0.47407,             0.37382,           0.0079474,           0.0034259,            0.019331,            0.000892,            0.000892,            0.000892
                  48,            0.020679,            0.015079,            0.031854,             0.61912,             0.48261,             0.43952,              0.3661,           0.0086941,           0.0032841,             0.01926,            0.000694,            0.000694,            0.000694
                  49,            0.021238,             0.01432,             0.03315,             0.45931,             0.49515,             0.41026,             0.35358,           0.0085437,            0.003239,            0.019309,            0.000496,            0.000496,            0.000496
                   0,            0.065735,            0.025509,            0.037257,                   0,                   0,                   0,                   0,             0.04515,            0.016236,            0.020693,               0.091,               0.001,               0.001
                   0,            0.061096,            0.026097,             0.03707,           0.0024001,             0.74907,            0.096616,             0.04037,            0.023925,            0.015322,            0.020271,              0.0793,              0.0023,              0.0023
